id,generator,sampler,side,seedIndex,seedHex,openCells,openFraction,targetOpenCells,stopReason,occupiedWidth,occupiedHeight,solutionSlides,legalExtensionCount,boardSha256,stats,map,preview,detail,solutionDetail,recipe,board,solution,solutionMap,constructionCode,constructionFormat
2-backward-v1-s1,backward-growth-v1,uniform-legal-cell-v1,2,1,4af5e1f19a698133297f737c3be3859e020ea296b8c8e6c27156881762469ae14b8b53ce3fc09127383c9833cdcaf0f6b6866d6c71e8ec4775210016653231ea,1,0.25,1,target-reached,1,1,0,2,007d63f486391179c73fd8df156302e9b669b19c06e0115ca86f482ecdef9f43,2-backward-v1-s1/stats.json,2-backward-v1-s1/map.png,2-backward-v1-s1/preview.png,2-backward-v1-s1/detail.png,2-backward-v1-s1/solution-detail.png,2-backward-v1-s1/recipe.json,2-backward-v1-s1/level.board.gz,2-backward-v1-s1/level.solution.gz,2-backward-v1-s1/solution-map.png,2-backward-v1-s1/construction.code.json,coil-construction-v1
2-backward-v1-s2,backward-growth-v1,uniform-legal-cell-v1,2,2,959f02a0932355b06451a89b9d71b937de8308b25cfd2d258c1fab5f4bde2765cb3652813385a96e469287887807aa25f16454291c7ede1f3318d3640228018a,4,1,4,target-reached,2,2,3,0,e8aabc3a205bb90f0e2471acb2a70f0a10d1420a64ecf522c46c374c0828dc8b,2-backward-v1-s2/stats.json,2-backward-v1-s2/map.png,2-backward-v1-s2/preview.png,2-backward-v1-s2/detail.png,2-backward-v1-s2/solution-detail.png,2-backward-v1-s2/recipe.json,2-backward-v1-s2/level.board.gz,2-backward-v1-s2/level.solution.gz,2-backward-v1-s2/solution-map.png,2-backward-v1-s2/construction.code.json,coil-construction-v1
2-backward-v1-s3,backward-growth-v1,uniform-legal-cell-v1,2,3,5b73fc633f69a951e3977dc73ebcd0ff7ffae55ec8fde81fd5c74071bd610cf345dc436435adf28de9eb5fa2d8741390e80c289a3ae490ad6483b8ed01511da1,1,0.25,1,target-reached,1,1,0,2,07e7069b476e6b5281f43bfd5adb527e03e4825fc50e8dcace98e757a58fc3e6,2-backward-v1-s3/stats.json,2-backward-v1-s3/map.png,2-backward-v1-s3/preview.png,2-backward-v1-s3/detail.png,2-backward-v1-s3/solution-detail.png,2-backward-v1-s3/recipe.json,2-backward-v1-s3/level.board.gz,2-backward-v1-s3/level.solution.gz,2-backward-v1-s3/solution-map.png,2-backward-v1-s3/construction.code.json,coil-construction-v1
4-backward-v1-s1,backward-growth-v1,uniform-legal-cell-v1,4,1,4af5e1f19a698133297f737c3be3859e020ea296b8c8e6c27156881762469ae14b8b53ce3fc09127383c9833cdcaf0f6b6866d6c71e8ec4775210016653231ea,9,0.5625,9,target-reached,4,3,5,1,e34de43bcf98a49739330331152cb6b774f0a95be9e2bd1297c233d8eb324c83,4-backward-v1-s1/stats.json,4-backward-v1-s1/map.png,4-backward-v1-s1/preview.png,4-backward-v1-s1/detail.png,4-backward-v1-s1/solution-detail.png,4-backward-v1-s1/recipe.json,4-backward-v1-s1/level.board.gz,4-backward-v1-s1/level.solution.gz,4-backward-v1-s1/solution-map.png,4-backward-v1-s1/construction.code.json,coil-construction-v1
4-backward-v1-s2,backward-growth-v1,uniform-legal-cell-v1,4,2,959f02a0932355b06451a89b9d71b937de8308b25cfd2d258c1fab5f4bde2765cb3652813385a96e469287887807aa25f16454291c7ede1f3318d3640228018a,4,0.25,4,target-reached,2,2,3,1,4a5975a05694661c599ad6ecdd0bc175943d96cfc1a31f750150383959193d14,4-backward-v1-s2/stats.json,4-backward-v1-s2/map.png,4-backward-v1-s2/preview.png,4-backward-v1-s2/detail.png,4-backward-v1-s2/solution-detail.png,4-backward-v1-s2/recipe.json,4-backward-v1-s2/level.board.gz,4-backward-v1-s2/level.solution.gz,4-backward-v1-s2/solution-map.png,4-backward-v1-s2/construction.code.json,coil-construction-v1
4-backward-v1-s3,backward-growth-v1,uniform-legal-cell-v1,4,3,5b73fc633f69a951e3977dc73ebcd0ff7ffae55ec8fde81fd5c74071bd610cf345dc436435adf28de9eb5fa2d8741390e80c289a3ae490ad6483b8ed01511da1,1,0.0625,1,target-reached,1,1,0,4,9bff4f63761cb06f02fcc84ae318de0cbcb5e9691a3770a123261af14b4ca1de,4-backward-v1-s3/stats.json,4-backward-v1-s3/map.png,4-backward-v1-s3/preview.png,4-backward-v1-s3/detail.png,4-backward-v1-s3/solution-detail.png,4-backward-v1-s3/recipe.json,4-backward-v1-s3/level.board.gz,4-backward-v1-s3/level.solution.gz,4-backward-v1-s3/solution-map.png,4-backward-v1-s3/construction.code.json,coil-construction-v1
8-backward-v1-s1,backward-growth-v1,uniform-legal-cell-v1,8,1,4af5e1f19a698133297f737c3be3859e020ea296b8c8e6c27156881762469ae14b8b53ce3fc09127383c9833cdcaf0f6b6866d6c71e8ec4775210016653231ea,13,0.203125,41,trapped,6,3,6,0,636c71a2235a0151c6a0f2f2f98f13e1dfcc5a77ff67676238320b2ed5e52dc9,8-backward-v1-s1/stats.json,8-backward-v1-s1/map.png,8-backward-v1-s1/preview.png,8-backward-v1-s1/detail.png,8-backward-v1-s1/solution-detail.png,8-backward-v1-s1/recipe.json,8-backward-v1-s1/level.board.gz,8-backward-v1-s1/level.solution.gz,8-backward-v1-s1/solution-map.png,8-backward-v1-s1/construction.code.json,coil-construction-v1
8-backward-v1-s2,backward-growth-v1,uniform-legal-cell-v1,8,2,959f02a0932355b06451a89b9d71b937de8308b25cfd2d258c1fab5f4bde2765cb3652813385a96e469287887807aa25f16454291c7ede1f3318d3640228018a,8,0.125,52,trapped,3,3,5,0,e111f19202f3221b365df7850f8a6005bb034d4e319581d241eebb2af6bd0d9f,8-backward-v1-s2/stats.json,8-backward-v1-s2/map.png,8-backward-v1-s2/preview.png,8-backward-v1-s2/detail.png,8-backward-v1-s2/solution-detail.png,8-backward-v1-s2/recipe.json,8-backward-v1-s2/level.board.gz,8-backward-v1-s2/level.solution.gz,8-backward-v1-s2/solution-map.png,8-backward-v1-s2/construction.code.json,coil-construction-v1
8-backward-v1-s3,backward-growth-v1,uniform-legal-cell-v1,8,3,5b73fc633f69a951e3977dc73ebcd0ff7ffae55ec8fde81fd5c74071bd610cf345dc436435adf28de9eb5fa2d8741390e80c289a3ae490ad6483b8ed01511da1,7,0.109375,17,trapped,4,2,5,0,3ec280e262991add3ca5b1a7e96c34b842ffbe7eec790b87e8baea4dbede2c26,8-backward-v1-s3/stats.json,8-backward-v1-s3/map.png,8-backward-v1-s3/preview.png,8-backward-v1-s3/detail.png,8-backward-v1-s3/solution-detail.png,8-backward-v1-s3/recipe.json,8-backward-v1-s3/level.board.gz,8-backward-v1-s3/level.solution.gz,8-backward-v1-s3/solution-map.png,8-backward-v1-s3/construction.code.json,coil-construction-v1
16-backward-v1-s1,backward-growth-v1,uniform-legal-cell-v1,16,1,4af5e1f19a698133297f737c3be3859e020ea296b8c8e6c27156881762469ae14b8b53ce3fc09127383c9833cdcaf0f6b6866d6c71e8ec4775210016653231ea,15,0.05859375,169,trapped,6,4,6,0,2ac6ed3712bf1ef11af8fe37a9ab01f103e81998c1aca513d2acc259b2b14684,16-backward-v1-s1/stats.json,16-backward-v1-s1/map.png,16-backward-v1-s1/preview.png,16-backward-v1-s1/detail.png,16-backward-v1-s1/solution-detail.png,16-backward-v1-s1/recipe.json,16-backward-v1-s1/level.board.gz,16-backward-v1-s1/level.solution.gz,16-backward-v1-s1/solution-map.png,16-backward-v1-s1/construction.code.json,coil-construction-v1
