id,generator,sampler,side,activity,initialization,steps,seedHex,openCells,openFraction,solutionSlides,generationSeconds,boardSha256,stats,map,preview,detail,solutionDetail,solutionMap,recipe,constructionCode,constructionFormat,board,solution,control,distribution,mixing
16-reversible-a1-s1,reversible-path-v1,symmetric-edit-metropolis-v1,16,1,stripes,25600,4af5e1f19a698133297f737c3be3859e020ea296b8c8e6c27156881762469ae14b8b53ce3fc09127383c9833cdcaf0f6b6866d6c71e8ec4775210016653231ea,151,0.58984375,43,0.0321608,2db9709e81c29b97297d7d74044a5906763d74aa00fc7c81ddb19908c7f14538,16-reversible-a1-s1/stats.json,16-reversible-a1-s1/map.png,16-reversible-a1-s1/preview.png,16-reversible-a1-s1/detail.png,16-reversible-a1-s1/solution-detail.png,16-reversible-a1-s1/solution-map.png,16-reversible-a1-s1/recipe.json,16-reversible-a1-s1/construction.code.json,coil-construction-v1,16-reversible-a1-s1/level.board.gz,16-reversible-a1-s1/level.solution.gz,False,ordered-solution weight activity^openCells; board weight solutionCount * activity^openCells,Finite run; convergence not established. Initialization can strongly influence output.
16-reversible-a1-s2,reversible-path-v1,symmetric-edit-metropolis-v1,16,1,stripes,25600,959f02a0932355b06451a89b9d71b937de8308b25cfd2d258c1fab5f4bde2765cb3652813385a96e469287887807aa25f16454291c7ede1f3318d3640228018a,151,0.58984375,41,0.0328762,6988ca099d0d38fb563e316fb1f60b7a0889a3f45a843ca8096fd995e256e30c,16-reversible-a1-s2/stats.json,16-reversible-a1-s2/map.png,16-reversible-a1-s2/preview.png,16-reversible-a1-s2/detail.png,16-reversible-a1-s2/solution-detail.png,16-reversible-a1-s2/solution-map.png,16-reversible-a1-s2/recipe.json,16-reversible-a1-s2/construction.code.json,coil-construction-v1,16-reversible-a1-s2/level.board.gz,16-reversible-a1-s2/level.solution.gz,False,ordered-solution weight activity^openCells; board weight solutionCount * activity^openCells,Finite run; convergence not established. Initialization can strongly influence output.
16-reversible-a2-s1,reversible-path-v1,symmetric-edit-metropolis-v1,16,2,stripes,25600,4af5e1f19a698133297f737c3be3859e020ea296b8c8e6c27156881762469ae14b8b53ce3fc09127383c9833cdcaf0f6b6866d6c71e8ec4775210016653231ea,167,0.65234375,35,0.0298548,46e215a5d4a0009e29b86925a94a8feea7a42e4eeff7974641a5fbbbb3de50db,16-reversible-a2-s1/stats.json,16-reversible-a2-s1/map.png,16-reversible-a2-s1/preview.png,16-reversible-a2-s1/detail.png,16-reversible-a2-s1/solution-detail.png,16-reversible-a2-s1/solution-map.png,16-reversible-a2-s1/recipe.json,16-reversible-a2-s1/construction.code.json,coil-construction-v1,16-reversible-a2-s1/level.board.gz,16-reversible-a2-s1/level.solution.gz,False,ordered-solution weight activity^openCells; board weight solutionCount * activity^openCells,Finite run; convergence not established. Initialization can strongly influence output.
16-reversible-a2-s2,reversible-path-v1,symmetric-edit-metropolis-v1,16,2,stripes,25600,959f02a0932355b06451a89b9d71b937de8308b25cfd2d258c1fab5f4bde2765cb3652813385a96e469287887807aa25f16454291c7ede1f3318d3640228018a,169,0.66015625,41,0.0319075,044f53e429415dceb2f23b8e34effcd44fc37fa3f6bca8c3567ee8788fca5078,16-reversible-a2-s2/stats.json,16-reversible-a2-s2/map.png,16-reversible-a2-s2/preview.png,16-reversible-a2-s2/detail.png,16-reversible-a2-s2/solution-detail.png,16-reversible-a2-s2/solution-map.png,16-reversible-a2-s2/recipe.json,16-reversible-a2-s2/construction.code.json,coil-construction-v1,16-reversible-a2-s2/level.board.gz,16-reversible-a2-s2/level.solution.gz,False,ordered-solution weight activity^openCells; board weight solutionCount * activity^openCells,Finite run; convergence not established. Initialization can strongly influence output.
64-reversible-a1-s1,reversible-path-v1,symmetric-edit-metropolis-v1,64,1,stripes,409600,4af5e1f19a698133297f737c3be3859e020ea296b8c8e6c27156881762469ae14b8b53ce3fc09127383c9833cdcaf0f6b6866d6c71e8ec4775210016653231ea,2302,0.56201171875,561,0.1843037,054a8f5eaa233facbf90569afbe87994590d392751417ab2559cf43ab9a7780b,64-reversible-a1-s1/stats.json,64-reversible-a1-s1/map.png,64-reversible-a1-s1/preview.png,64-reversible-a1-s1/detail.png,64-reversible-a1-s1/solution-detail.png,64-reversible-a1-s1/solution-map.png,64-reversible-a1-s1/recipe.json,64-reversible-a1-s1/construction.code.json,coil-construction-v1,64-reversible-a1-s1/level.board.gz,64-reversible-a1-s1/level.solution.gz,False,ordered-solution weight activity^openCells; board weight solutionCount * activity^openCells,Finite run; convergence not established. Initialization can strongly influence output.
64-reversible-a1-s2,reversible-path-v1,symmetric-edit-metropolis-v1,64,1,stripes,409600,959f02a0932355b06451a89b9d71b937de8308b25cfd2d258c1fab5f4bde2765cb3652813385a96e469287887807aa25f16454291c7ede1f3318d3640228018a,2280,0.556640625,545,0.1876585,925af1387575bd33cf04a5ae0c9330a3b2de36dc905667a987f2e179830b0f9d,64-reversible-a1-s2/stats.json,64-reversible-a1-s2/map.png,64-reversible-a1-s2/preview.png,64-reversible-a1-s2/detail.png,64-reversible-a1-s2/solution-detail.png,64-reversible-a1-s2/solution-map.png,64-reversible-a1-s2/recipe.json,64-reversible-a1-s2/construction.code.json,coil-construction-v1,64-reversible-a1-s2/level.board.gz,64-reversible-a1-s2/level.solution.gz,False,ordered-solution weight activity^openCells; board weight solutionCount * activity^openCells,Finite run; convergence not established. Initialization can strongly influence output.
64-reversible-a2-s1,reversible-path-v1,symmetric-edit-metropolis-v1,64,2,stripes,409600,4af5e1f19a698133297f737c3be3859e020ea296b8c8e6c27156881762469ae14b8b53ce3fc09127383c9833cdcaf0f6b6866d6c71e8ec4775210016653231ea,2432,0.59375,513,0.1807312,0d3314605f50b08eba7c28787251a4e6f3b5bfbb25baf3c608d9436877d5900c,64-reversible-a2-s1/stats.json,64-reversible-a2-s1/map.png,64-reversible-a2-s1/preview.png,64-reversible-a2-s1/detail.png,64-reversible-a2-s1/solution-detail.png,64-reversible-a2-s1/solution-map.png,64-reversible-a2-s1/recipe.json,64-reversible-a2-s1/construction.code.json,coil-construction-v1,64-reversible-a2-s1/level.board.gz,64-reversible-a2-s1/level.solution.gz,False,ordered-solution weight activity^openCells; board weight solutionCount * activity^openCells,Finite run; convergence not established. Initialization can strongly influence output.
64-reversible-a2-s2,reversible-path-v1,symmetric-edit-metropolis-v1,64,2,stripes,409600,959f02a0932355b06451a89b9d71b937de8308b25cfd2d258c1fab5f4bde2765cb3652813385a96e469287887807aa25f16454291c7ede1f3318d3640228018a,2426,0.59228515625,514,0.1745471,2fa33a5f8f0e9b2b961f5ff601dc5a88fcaea0f7003b673b1f22f7a5d912663e,64-reversible-a2-s2/stats.json,64-reversible-a2-s2/map.png,64-reversible-a2-s2/preview.png,64-reversible-a2-s2/detail.png,64-reversible-a2-s2/solution-detail.png,64-reversible-a2-s2/solution-map.png,64-reversible-a2-s2/recipe.json,64-reversible-a2-s2/construction.code.json,coil-construction-v1,64-reversible-a2-s2/level.board.gz,64-reversible-a2-s2/level.solution.gz,False,ordered-solution weight activity^openCells; board weight solutionCount * activity^openCells,Finite run; convergence not established. Initialization can strongly influence output.
256-reversible-a1-s1,reversible-path-v1,symmetric-edit-metropolis-v1,256,1,stripes,6553600,4af5e1f19a698133297f737c3be3859e020ea296b8c8e6c27156881762469ae14b8b53ce3fc09127383c9833cdcaf0f6b6866d6c71e8ec4775210016653231ea,36937,0.5636138916015625,8415,1.7579345,a6f71079b8e5bfa5636116521f96c83806a30529aea92ff0f4b6787bcce28d53,256-reversible-a1-s1/stats.json,256-reversible-a1-s1/map.png,256-reversible-a1-s1/preview.png,256-reversible-a1-s1/center-detail.png,256-reversible-a1-s1/center-solution-detail.png,256-reversible-a1-s1/solution-map.png,256-reversible-a1-s1/recipe.json,256-reversible-a1-s1/construction.code.json,coil-construction-v1,256-reversible-a1-s1/level.board.gz,256-reversible-a1-s1/level.solution.gz,False,ordered-solution weight activity^openCells; board weight solutionCount * activity^openCells,Finite run; convergence not established. Initialization can strongly influence output.
256-reversible-a1-s2,reversible-path-v1,symmetric-edit-metropolis-v1,256,1,stripes,6553600,959f02a0932355b06451a89b9d71b937de8308b25cfd2d258c1fab5f4bde2765cb3652813385a96e469287887807aa25f16454291c7ede1f3318d3640228018a,36902,0.563079833984375,8383,1.7547745,a4d12effeae47f8e7205d9362beb6e9f7632294e8bcb232e86acf25ce7b032fc,256-reversible-a1-s2/stats.json,256-reversible-a1-s2/map.png,256-reversible-a1-s2/preview.png,256-reversible-a1-s2/center-detail.png,256-reversible-a1-s2/center-solution-detail.png,256-reversible-a1-s2/solution-map.png,256-reversible-a1-s2/recipe.json,256-reversible-a1-s2/construction.code.json,coil-construction-v1,256-reversible-a1-s2/level.board.gz,256-reversible-a1-s2/level.solution.gz,False,ordered-solution weight activity^openCells; board weight solutionCount * activity^openCells,Finite run; convergence not established. Initialization can strongly influence output.
